"","hosts","tissues","hosts2","tissues2"
"HF586638_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"LT558778_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"HF586639_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"LT558781_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558770_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"HF586649_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"HF586637_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"LT558782_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558774_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558775_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT622841_Marigold_phyllody_phytoplasma","vertebrate","plant_tissue","no tag","plant_tissue"
"HF586650_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"KJ200628_Sugarcane_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
