"","hosts","tissues","hosts2","tissues2"
"AM404176_Candidatus_Phytoplasma_pyri","plant","plant_tissue","plant","plant_tissue"
"AM404172_Candidatus_Phytoplasma_pyri","plant","plant_tissue","plant","plant_tissue"
"AM404171_Candidatus_Phytoplasma_pyri","plant","plant_tissue","plant","plant_tissue"
"AM404169_Candidatus_Phytoplasma_pyri","plant","plant_tissue","plant","plant_tissue"
"AM404173_Candidatus_Phytoplasma_pyri","plant","plant_tissue","plant","plant_tissue"
"NR_025738_Acholeplasma_pleciae","vertebrate","associated_insect","invertebrate","associated_insect"
"AM073014_Acholeplasma_laidlawii","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AB255922_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"AB702914_uncultured_Anaeroplasmatales_bacterium","plant","feces","vertebrate","feces"
"KP713734_uncultured_Anaeroplasma_sp","plant","feces","vertebrate","feces"
"KP713733_uncultured_Anaeroplasma_sp","plant","feces","vertebrate","feces"
"KP713753_uncultured_Anaeroplasma_sp","plant","feces","vertebrate","feces"
"AM420117_uncultured_Mollicutes_bacterium","plant","mouth","vertebrate","mouth"
"AB752303_Mycoplasma_sp_N008","vertebrate","blood","vertebrate","blood"
"AB758439_Candidatus_Mycoplasma_haemomuris_subsp_ratti","vertebrate","blood","vertebrate","blood"
"AB758434_Candidatus_Mycoplasma_haemomuris_subsp_ratti","vertebrate","blood","vertebrate","blood"
"AB758438_Candidatus_Mycoplasma_haemomuris_subsp_musculi","vertebrate","blood","vertebrate","blood"
"AB758437_Candidatus_Mycoplasma_haemomuris_subsp_musculi","vertebrate","blood","vertebrate","blood"
"AB758436_Candidatus_Mycoplasma_haemomuris_subsp_musculi","vertebrate","blood","vertebrate","blood"
"AB758440_Candidatus_Mycoplasma_haemomuris_subsp_musculi","vertebrate","blood","vertebrate","blood"
"HQ183732_uncultured_Mycoplasma_sp","plant","blood","vertebrate","blood"
"HQ183731_uncultured_Mycoplasma_sp","plant","blood","vertebrate","blood"
"AB725596_Mycoplasma_sp_Bear","vertebrate","auditory_tract","vertebrate","blood"
"FJ667774_uncultured_Mycoplasma_sp","plant","blood","vertebrate","blood"
"FJ667773_uncultured_Mycoplasma_sp","plant","blood","vertebrate","blood"
"HE577612_uncultured_Mycoplasma_sp","plant","blood","vertebrate","blood"
"AB617736_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"AB617738_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"AB617737_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"AB617734_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"AB617735_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"AB617733_Candidatus_Mycoplasma_haemovis","vertebrate","no tag","vertebrate","no tag"
"FN436010_Mycoplasma_suis","vertebrate","blood","vertebrate","blood"
"FN436009_Mycoplasma_suis","vertebrate","blood","vertebrate","blood"
"FN436017_Mycoplasma_suis","vertebrate","blood","vertebrate","blood"
"AB089057_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB192228_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB192181_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB089053_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB299549_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"HG764212_uncultured_Mycoplasma_sp","plant","mouth","vertebrate","mouth"
"HG764211_uncultured_Mycoplasma_sp","plant","mouth","vertebrate","mouth"
"HG764209_uncultured_Mycoplasma_sp","plant","mouth","vertebrate","mouth"
"HG764210_uncultured_Mycoplasma_sp","plant","mouth","vertebrate","mouth"
"AB089056_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB089055_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB192229_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB089054_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB192182_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB299547_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB089058_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB089060_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AB299548_uncultured_Mycoplasma_sp","plant","digestive_tract","invertebrate","digestive_tract"
"AM073012_Mycoplasma_iowae","vertebrate","respratory_tract","vertebrate","respratory_tract"
"HM031446_uncultured_Mycoplasma_sp","plant","digestive_tract","no tag","no tag"
"GU227397_Ureaplasma_diversum","vertebrate","genital_tract","vertebrate","genital_tract"
"GU227398_Ureaplasma_diversum","vertebrate","genital_tract","vertebrate","genital_tract"
"MG846120_Mycoplasma_gallisepticum","vertebrate","respratory_tract","vertebrate","respratory_tract"
"AM075207_Mycoplasma_gallisepticum","vertebrate","respratory_tract","no tag","respratory_tract"
